endpoint,loss,delay_ms
162.159.192.16:894,0.00%,190
162.159.193.178:894,0.00%,190
188.114.98.3:894,0.00%,190
188.114.99.189:988,0.00%,190
162.159.193.215:894,0.00%,191
162.159.195.123:894,0.00%,192
162.159.193.111:988,0.00%,193
162.159.193.251:894,0.00%,193
188.114.96.70:988,0.00%,193
188.114.97.20:894,0.00%,193
188.114.97.231:894,0.00%,193
188.114.98.230:894,0.00%,193
162.159.195.104:894,0.00%,194
162.159.193.232:894,0.00%,195
188.114.96.78:894,0.00%,195
188.114.96.219:894,0.00%,196
188.114.96.250:988,0.00%,196
188.114.97.66:988,0.00%,196
188.114.98.143:988,0.00%,196
188.114.98.64:894,0.00%,196
188.114.97.164:894,0.00%,197
188.114.97.30:988,0.00%,197
188.114.97.165:988,0.00%,198
162.159.192.70:988,0.00%,199
162.159.193.26:894,0.00%,199
162.159.193.36:988,0.00%,199
188.114.96.130:988,0.00%,199
188.114.97.234:988,0.00%,199
188.114.98.71:988,0.00%,199
188.114.99.21:988,0.00%,199
162.159.193.99:894,0.00%,200
188.114.99.107:894,0.00%,200
188.114.99.157:894,0.00%,200
162.159.192.244:988,0.00%,201
162.159.193.0:988,0.00%,201
188.114.98.88:894,0.00%,202
188.114.99.6:894,0.00%,202
188.114.98.194:894,0.00%,203
188.114.99.179:894,0.00%,203
188.114.96.0:988,0.00%,204
188.114.99.122:894,0.00%,204
188.114.96.30:988,0.00%,205
188.114.98.226:988,0.00%,205
162.159.195.177:988,0.00%,206
188.114.97.30:894,0.00%,206
162.159.195.77:988,0.00%,207
162.159.192.56:988,0.00%,208
188.114.96.134:988,0.00%,208
162.159.195.166:988,0.00%,209
162.159.192.35:988,0.00%,210
